groupcode,groupname,groupcode_s,groupname_s,countrycode,countryname,countrycode_s,countryname_s
G510,ASEAN-5,510,ASEAN-5 (new definition),IDN,Indonesia,536,Indonesia
G510,ASEAN-5,510,ASEAN-5 (new definition),MYS,Malaysia,548,Malaysia
G510,ASEAN-5,510,ASEAN-5 (new definition),PHL,Philippines,566,Philippines
G510,ASEAN-5,510,ASEAN-5 (new definition),SGP,Singapore,576,Singapore
G510,ASEAN-5,510,ASEAN-5 (new definition),THA,Thailand,578,Thailand
G202,Advanced Asia,202,Advanced Asia,AUS,Australia,193,Australia
G202,Advanced Asia,202,Advanced Asia,HKG,"Hong Kong Special Administrative Region, People's Republic of China",532,Hong Kong SAR
G202,Advanced Asia,202,Advanced Asia,JPN,Japan,158,Japan
G202,Advanced Asia,202,Advanced Asia,KOR,"Korea, Republic of",542,Korea
G202,Advanced Asia,202,Advanced Asia,MAC,"Macao Special Administrative Region, People's Republic of China",546,Macao SAR
G202,Advanced Asia,202,Advanced Asia,NZL,New Zealand,196,New Zealand
G202,Advanced Asia,202,Advanced Asia,SGP,Singapore,576,Singapore
G202,Advanced Asia,202,Advanced Asia,TWN,Taiwan Province of China,528,Taiwan Province of China
G110,Advanced Economies,110,Advanced Economies,AND,"Andorra, Principality of",171,Andorra
G110,Advanced Economies,110,Advanced Economies,AUS,Australia,193,Australia
G110,Advanced Economies,110,Advanced Economies,AUT,Austria,122,Austria
G110,Advanced Economies,110,Advanced Economies,BEL,Belgium,124,Belgium
G110,Advanced Economies,110,Advanced Economies,BGR,Bulgaria,918,Bulgaria
G110,Advanced Economies,110,Advanced Economies,CAN,Canada,156,Canada
G110,Advanced Economies,110,Advanced Economies,HRV,"Croatia, Republic of",960,Croatia
G110,Advanced Economies,110,Advanced Economies,CYP,Cyprus,423,Cyprus
G110,Advanced Economies,110,Advanced Economies,CZE,Czech Republic,935,Czech Republic
G110,Advanced Economies,110,Advanced Economies,DNK,Denmark,128,Denmark
G110,Advanced Economies,110,Advanced Economies,EST,"Estonia, Republic of",939,Estonia
G110,Advanced Economies,110,Advanced Economies,FIN,Finland,172,Finland
G110,Advanced Economies,110,Advanced Economies,FRA,France,132,France
G110,Advanced Economies,110,Advanced Economies,DEU,Germany,134,Germany
G110,Advanced Economies,110,Advanced Economies,GRC,Greece,174,Greece
G110,Advanced Economies,110,Advanced Economies,HKG,"Hong Kong Special Administrative Region, People's Republic of China",532,Hong Kong SAR
G110,Advanced Economies,110,Advanced Economies,ISL,Iceland,176,Iceland
G110,Advanced Economies,110,Advanced Economies,IRL,Ireland,178,Ireland
G110,Advanced Economies,110,Advanced Economies,ISR,Israel,436,Israel
G110,Advanced Economies,110,Advanced Economies,ITA,Italy,136,Italy
G110,Advanced Economies,110,Advanced Economies,JPN,Japan,158,Japan
G110,Advanced Economies,110,Advanced Economies,KOR,"Korea, Republic of",542,Korea
G110,Advanced Economies,110,Advanced Economies,LVA,"Latvia, Republic of",941,Latvia
G110,Advanced Economies,110,Advanced Economies,LIE,"Liechtenstein, Principality of",147,Liechtenstein
G110,Advanced Economies,110,Advanced Economies,LTU,"Lithuania, Republic of",946,Lithuania
G110,Advanced Economies,110,Advanced Economies,LUX,Luxembourg,137,Luxembourg
G110,Advanced Economies,110,Advanced Economies,MAC,"Macao Special Administrative Region, People's Republic of China",546,Macao SAR
G110,Advanced Economies,110,Advanced Economies,MLT,Malta,181,Malta
G110,Advanced Economies,110,Advanced Economies,NLD,"Netherlands, The",138,Netherlands
G110,Advanced Economies,110,Advanced Economies,NZL,New Zealand,196,New Zealand
G110,Advanced Economies,110,Advanced Economies,NOR,Norway,142,Norway
G110,Advanced Economies,110,Advanced Economies,PRT,Portugal,182,Portugal
G110,Advanced Economies,110,Advanced Economies,PRI,Puerto Rico,359,Puerto Rico
G110,Advanced Economies,110,Advanced Economies,SMR,"San Marino, Republic of",135,San Marino
G110,Advanced Economies,110,Advanced Economies,SGP,Singapore,576,Singapore
G110,Advanced Economies,110,Advanced Economies,SVK,Slovak Republic,936,Slovak Republic
G110,Advanced Economies,110,Advanced Economies,SVN,"Slovenia, Republic of",961,Slovenia
G110,Advanced Economies,110,Advanced Economies,ESP,Spain,184,Spain
G110,Advanced Economies,110,Advanced Economies,SWE,Sweden,144,Sweden
G110,Advanced Economies,110,Advanced Economies,CHE,Switzerland,146,Switzerland
