"The country groups in this file have been implemented during the April 2026 WEO exercise and are used to calculate aggregates presented in the WEO Live database. The file also describes the countries in Group A+ and Group A, which are not used in the database but are relevant to the WEO/CSD submission process.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Last updated: April 16, 2026",,,,,,,,,,,,,,,
Information in this file:,,,,,,,,,,,,,,,
1.,WEO Countries,Names and codes of all countries in the WEO Live database.,,,,,,,,,,,,,
2.,WEO Country Groups,Names and codes of key country groups in the WEO Live database.,,,,,,,,,,,,,
3.,WEO Countries and Country Groups,Country composition of key country groups in the WEO Live database; includes names and codes.,,,,,,,,,,,,,
4.,Group A and A+,List of Group A+ and Group A countries. These groups are not included in the WEO Live database but are relevant to the WEO/CSD submission process.,,,,,,,,,,,,,
5.,5. Group Dummies (iData),Table of dummy variables for WEO country groups. Dummy variables use iData group codes.,,,,,,,,,,,,,
6.,5. Group Dummies (old codes),Table of dummy variables for WEO country groups. Dummy variables use old EcOS group codes.,,,,,,,,,,,,,
The lists in this file are available in Stata format in the following directory:,,,,,,,,,,,,,,,
\\data1\WEO\WEO_Stata_Databases\weo groups,,,,,,,,,,,,,,,
Naming conventions in this file,,,,,,,,,,,,,,,
The following refer to names and codes used to identify countries and country groups in the iData portal:,,,,,,,,,,,,,,,
,groupcode,Country group code (3+ character),,,,,,,,,,,,,
,groupname,Country group name,,,,,,,,,,,,,
,countrycode,Country code (3 character),,,,,,,,,,,,,
,countryname,Country name,,,,,,,,,,,,,
The following refer to names and codes used in iData Studio and previously in EcOS:,,,,,,,,,,,,,,,
,countrycode_s,Country group code (3+ digit),,,,,,,,,,,,,
,countryname_s,Country group name,,,,,,,,,,,,,
,groupcode_s,Country code (3 digit),,,,,,,,,,,,,
,groupname_s,Country name,,,,,,,,,,,,,
