groupname,countrycode,countryname,countrycode_s,countryname_s,department
Group A,ARG,Argentina,213,Argentina,WHD
Group A,AUS,Australia,193,Australia,APD
Group A,BRA,Brazil,223,Brazil,WHD
Group A,CAN,Canada,156,Canada,WHD
Group A,CHN,"China, People's Republic of",924,China,APD
Group A,EGY,"Egypt, Arab Republic of",469,Egypt,MCD
Group A,G163,Euro Area (EA),163,Euro area,EUR
Group A,FRA,France,132,France,EUR
Group A,DEU,Germany,134,Germany,EUR
Group A,IND,India,534,India,APD
Group A,IDN,Indonesia,536,Indonesia,APD
Group A,IRN,"Iran, Islamic Republic of",429,Iran,MCD
Group A,ITA,Italy,136,Italy,EUR
Group A,JPN,Japan,158,Japan,APD
Group A,KAZ,"Kazakhstan, Republic of",916,Kazakhstan,MCD
Group A,KOR,"Korea, Republic of",542,Korea,APD
Group A,MYS,Malaysia,548,Malaysia,APD
Group A,MEX,Mexico,273,Mexico,WHD
Group A,NLD,"Netherlands, The",138,Netherlands,EUR
Group A,NGA,Nigeria,694,Nigeria,AFR
Group A,PAK,Pakistan,564,Pakistan,MCD
Group A,PHL,Philippines,566,Philippines,APD
Group A,POL,"Poland, Republic of",964,Poland,EUR
Group A,RUS,Russian Federation,922,Russia,EUR
Group A,SAU,Saudi Arabia,456,Saudi Arabia,MCD
Group A,ZAF,South Africa,199,South Africa,AFR
Group A,ESP,Spain,184,Spain,EUR
Group A,THA,Thailand,578,Thailand,APD
Group A,TUR,"Türkiye, Republic of",186,Türkiye,EUR
Group A,GBR,United Kingdom,112,United Kingdom,EUR
Group A,USA,United States,111,United States,WHD
Group A+,DZA,Algeria,612,Algeria,MCD
Group A+,AGO,Angola,614,Angola,AFR
Group A+,ARG,Argentina,213,Argentina,WHD
Group A+,ARM,"Armenia, Republic of",911,Armenia,MCD
Group A+,AUS,Australia,193,Australia,APD
Group A+,AZE,"Azerbaijan, Republic of",912,Azerbaijan,MCD
Group A+,BGD,Bangladesh,513,Bangladesh,APD
Group A+,BRA,Brazil,223,Brazil,WHD
Group A+,CMR,Cameroon,622,Cameroon,AFR
Group A+,CAN,Canada,156,Canada,WHD
Group A+,CHL,Chile,228,Chile,WHD
Group A+,CHN,"China, People's Republic of",924,China,APD
Group A+,COL,Colombia,233,Colombia,WHD
Group A+,COD,"Congo, Democratic Republic of the",636,"Congo, Democratic Republic of the",AFR
Group A+,CIV,Côte d'Ivoire,662,Côte d'Ivoire,AFR
Group A+,DOM,Dominican Republic,243,Dominican Republic,WHD
Group A+,EGY,"Egypt, Arab Republic of",469,Egypt,MCD
Group A+,ETH,"Ethiopia, The Federal Democratic Republic of",644,Ethiopia,AFR
Group A+,G163,Euro Area (EA),163,Euro area,EUR
Group A+,FRA,France,132,France,EUR
Group A+,GEO,Georgia,915,Georgia,MCD
Group A+,DEU,Germany,134,Germany,EUR
Group A+,GHA,Ghana,652,Ghana,AFR
Group A+,HKG,"Hong Kong Special Administrative Region, People's Republic of China",532,Hong Kong SAR,APD
Group A+,IND,India,534,India,APD
Group A+,IDN,Indonesia,536,Indonesia,APD
Group A+,IRN,"Iran, Islamic Republic of",429,Iran,MCD
Group A+,IRL,Ireland,178,Ireland,EUR
Group A+,ITA,Italy,136,Italy,EUR
Group A+,JAM,Jamaica,343,Jamaica,WHD
Group A+,JPN,Japan,158,Japan,APD
Group A+,JOR,Jordan,439,Jordan,MCD
Group A+,KAZ,"Kazakhstan, Republic of",916,Kazakhstan,MCD
Group A+,KEN,Kenya,664,Kenya,AFR
Group A+,KOR,"Korea, Republic of",542,Korea,APD
Group A+,KWT,Kuwait,443,Kuwait,MCD
Group A+,MYS,Malaysia,548,Malaysia,APD
Group A+,MEX,Mexico,273,Mexico,WHD
Group A+,MAR,Morocco,686,Morocco,MCD
Group A+,NLD,"Netherlands, The",138,Netherlands,EUR
Group A+,NGA,Nigeria,694,Nigeria,AFR
Group A+,PAK,Pakistan,564,Pakistan,MCD
Group A+,PNG,Papua New Guinea,853,Papua New Guinea,APD
Group A+,PRY,Paraguay,288,Paraguay,WHD
Group A+,PER,Peru,293,Peru,WHD
Group A+,PHL,Philippines,566,Philippines,APD
Group A+,POL,"Poland, Republic of",964,Poland,EUR
Group A+,RUS,Russian Federation,922,Russia,EUR
Group A+,SAU,Saudi Arabia,456,Saudi Arabia,MCD
Group A+,SEN,Senegal,722,Senegal,AFR
Group A+,ZAF,South Africa,199,South Africa,AFR
Group A+,ESP,Spain,184,Spain,EUR
Group A+,TZA,"Tanzania, United Republic of",738,Tanzania,AFR
Group A+,THA,Thailand,578,Thailand,APD
Group A+,TUR,"Türkiye, Republic of",186,Türkiye,EUR
Group A+,UGA,Uganda,746,Uganda,AFR
Group A+,ARE,United Arab Emirates,466,United Arab Emirates,MCD
Group A+,GBR,United Kingdom,112,United Kingdom,EUR
Group A+,USA,United States,111,United States,WHD
Group A+,URY,Uruguay,298,Uruguay,WHD
Group A+,UZB,"Uzbekistan, Republic of",927,Uzbekistan,MCD
