countrycode,countryname,countrycode_s,countryname_s,department
USA,United States,111,United States,WHD
GBR,United Kingdom,112,United Kingdom,EUR
AUT,Austria,122,Austria,EUR
BEL,Belgium,124,Belgium,EUR
DNK,Denmark,128,Denmark,EUR
FRA,France,132,France,EUR
DEU,Germany,134,Germany,EUR
SMR,"San Marino, Republic of",135,San Marino,EUR
ITA,Italy,136,Italy,EUR
LUX,Luxembourg,137,Luxembourg,EUR
NLD,"Netherlands, The",138,Netherlands,EUR
NOR,Norway,142,Norway,EUR
SWE,Sweden,144,Sweden,EUR
CHE,Switzerland,146,Switzerland,EUR
LIE,"Liechtenstein, Principality of",147,Liechtenstein,EUR
CAN,Canada,156,Canada,WHD
JPN,Japan,158,Japan,APD
G163,Euro Area (EA),163,Euro area,EUR
AND,"Andorra, Principality of",171,Andorra,EUR
FIN,Finland,172,Finland,EUR
GRC,Greece,174,Greece,EUR
ISL,Iceland,176,Iceland,EUR
IRL,Ireland,178,Ireland,EUR
MLT,Malta,181,Malta,EUR
PRT,Portugal,182,Portugal,EUR
ESP,Spain,184,Spain,EUR
TUR,"Türkiye, Republic of",186,Türkiye,EUR
AUS,Australia,193,Australia,APD
NZL,New Zealand,196,New Zealand,APD
ZAF,South Africa,199,South Africa,AFR
ARG,Argentina,213,Argentina,WHD
BOL,Bolivia,218,Bolivia,WHD
BRA,Brazil,223,Brazil,WHD
CHL,Chile,228,Chile,WHD
COL,Colombia,233,Colombia,WHD
CRI,Costa Rica,238,Costa Rica,WHD
DOM,Dominican Republic,243,Dominican Republic,WHD
ECU,Ecuador,248,Ecuador,WHD
SLV,El Salvador,253,El Salvador,WHD
GTM,Guatemala,258,Guatemala,WHD
HTI,Haiti,263,Haiti,WHD
HND,Honduras,268,Honduras,WHD
MEX,Mexico,273,Mexico,WHD
NIC,Nicaragua,278,Nicaragua,WHD
PAN,Panama,283,Panama,WHD
PRY,Paraguay,288,Paraguay,WHD
PER,Peru,293,Peru,WHD
URY,Uruguay,298,Uruguay,WHD
VEN,"Venezuela, República Bolivariana de",299,Venezuela,WHD
ATG,Antigua and Barbuda,311,Antigua and Barbuda,WHD
BHS,"Bahamas, The",313,"Bahamas, The",WHD
ABW,"Aruba, Kingdom of the Netherlands",314,Aruba,WHD
BRB,Barbados,316,Barbados,WHD
DMA,Dominica,321,Dominica,WHD
GRD,Grenada,328,Grenada,WHD
GUY,Guyana,336,Guyana,WHD
BLZ,Belize,339,Belize,WHD
JAM,Jamaica,343,Jamaica,WHD
PRI,Puerto Rico,359,Puerto Rico,WHD
KNA,St. Kitts and Nevis,361,St. Kitts and Nevis,WHD
LCA,St. Lucia,362,St. Lucia,WHD
VCT,St. Vincent and the Grenadines,364,St. Vincent and the Grenadines,WHD
SUR,Suriname,366,Suriname,WHD
TTO,Trinidad and Tobago,369,Trinidad and Tobago,WHD
BHR,"Bahrain, Kingdom of",419,Bahrain,MCD
CYP,Cyprus,423,Cyprus,EUR
IRN,"Iran, Islamic Republic of",429,Iran,MCD
IRQ,Iraq,433,Iraq,MCD
ISR,Israel,436,Israel,EUR
JOR,Jordan,439,Jordan,MCD
KWT,Kuwait,443,Kuwait,MCD
LBN,Lebanon,446,Lebanon,MCD
OMN,Oman,449,Oman,MCD
QAT,Qatar,453,Qatar,MCD
SAU,Saudi Arabia,456,Saudi Arabia,MCD
SYR,Syrian Arab Republic,463,Syria,MCD
ARE,United Arab Emirates,466,United Arab Emirates,MCD
EGY,"Egypt, Arab Republic of",469,Egypt,MCD
YEM,"Yemen, Republic of",474,Yemen,MCD
WBG,West Bank and Gaza,487,West Bank and Gaza,MCD
AFG,"Afghanistan, Islamic Republic of",512,Afghanistan,MCD
BGD,Bangladesh,513,Bangladesh,APD
BTN,Bhutan,514,Bhutan,APD
BRN,Brunei Darussalam,516,Brunei Darussalam,APD
MMR,Myanmar,518,Myanmar,APD
KHM,Cambodia,522,Cambodia,APD
LKA,Sri Lanka,524,Sri Lanka,APD
TWN,Taiwan Province of China,528,Taiwan Province of China,APD
HKG,"Hong Kong Special Administrative Region, People's Republic of China",532,Hong Kong SAR,APD
IND,India,534,India,APD
IDN,Indonesia,536,Indonesia,APD
TLS,"Timor-Leste, Democratic Republic of",537,Timor-Leste,APD
KOR,"Korea, Republic of",542,Korea,APD
LAO,Lao People's Democratic Republic,544,Lao P.D.R.,APD
MAC,"Macao Special Administrative Region, People's Republic of China",546,Macao SAR,APD
MYS,Malaysia,548,Malaysia,APD
MDV,Maldives,556,Maldives,APD
NPL,Nepal,558,Nepal,APD
PAK,Pakistan,564,Pakistan,MCD
PLW,"Palau, Republic of",565,Palau,APD
PHL,Philippines,566,Philippines,APD
SGP,Singapore,576,Singapore,APD
THA,Thailand,578,Thailand,APD
VNM,Vietnam,582,Vietnam,APD
DJI,Djibouti,611,Djibouti,MCD
DZA,Algeria,612,Algeria,MCD
AGO,Angola,614,Angola,AFR
BWA,Botswana,616,Botswana,AFR
BDI,Burundi,618,Burundi,AFR
CMR,Cameroon,622,Cameroon,AFR
CPV,Cabo Verde,624,Cabo Verde,AFR
CAF,Central African Republic,626,Central African Republic,AFR
TCD,Chad,628,Chad,AFR
COM,"Comoros, Union of the",632,Comoros,AFR
COG,"Congo, Republic of",634,"Congo, Republic of",AFR
COD,"Congo, Democratic Republic of the",636,"Congo, Democratic Republic of the",AFR
BEN,Benin,638,Benin,AFR
GNQ,"Equatorial Guinea, Republic of",642,Equatorial Guinea,AFR
ERI,"Eritrea, The State of",643,Eritrea,AFR
ETH,"Ethiopia, The Federal Democratic Republic of",644,Ethiopia,AFR
GAB,Gabon,646,Gabon,AFR
GMB,"Gambia, The",648,"Gambia, The",AFR
GHA,Ghana,652,Ghana,AFR
GNB,Guinea-Bissau,654,Guinea-Bissau,AFR
GIN,Guinea,656,Guinea,AFR
CIV,Côte d'Ivoire,662,Côte d'Ivoire,AFR
KEN,Kenya,664,Kenya,AFR
LSO,"Lesotho, Kingdom of",666,Lesotho,AFR
LBR,Liberia,668,Liberia,AFR
LBY,Libya,672,Libya,MCD
MDG,"Madagascar, Republic of",674,Madagascar,AFR
MWI,Malawi,676,Malawi,AFR
MLI,Mali,678,Mali,AFR
MRT,"Mauritania, Islamic Republic of",682,Mauritania,MCD
MUS,Mauritius,684,Mauritius,AFR
MAR,Morocco,686,Morocco,MCD
MOZ,"Mozambique, Republic of",688,Mozambique,AFR
NER,Niger,692,Niger,AFR
NGA,Nigeria,694,Nigeria,AFR
ZWE,Zimbabwe,698,Zimbabwe,AFR
RWA,Rwanda,714,Rwanda,AFR
STP,"São Tomé and Príncipe, Democratic Republic of",716,São Tomé and Príncipe,AFR
SYC,Seychelles,718,Seychelles,AFR
SEN,Senegal,722,Senegal,AFR
SLE,Sierra Leone,724,Sierra Leone,AFR
SOM,Somalia,726,Somalia,MCD
NAM,Namibia,728,Namibia,AFR
SDN,Sudan,732,Sudan,MCD
SSD,"South Sudan, Republic of",733,South Sudan,AFR
SWZ,"Eswatini, Kingdom of",734,Eswatini,AFR
TZA,"Tanzania, United Republic of",738,Tanzania,AFR
TGO,Togo,742,Togo,AFR
TUN,Tunisia,744,Tunisia,MCD
UGA,Uganda,746,Uganda,AFR
BFA,Burkina Faso,748,Burkina Faso,AFR
ZMB,Zambia,754,Zambia,AFR
SLB,Solomon Islands,813,Solomon Islands,APD
