name,Agency ID,Resource ID,Latest Version,Unique ID
GEE Live 2025 April GAS3,IMF.RES.GEE,GEE_LIVE_2025_APR_GAS3_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2025_APR_GAS3_VINTAGE(1.0.0)
GAS Live 2016 April GAS3,IMF.RES.GAS,GAS_LIVE_2016_APR_GAS3_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2016_APR_GAS3_VINTAGE(1.0.0)
GFS Statement of Other Economic Flows,IMF.STA,GFS_SOEF,11.0.0,IMF.STA:GFS_SOEF(11.0.0)
WEO Live 2006 September,IMF.RES.WEO,WEO_LIVE_2006_SEP_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_2006_SEP_VINTAGE(1.0.0)
WEO Live 2021 January,IMF.RES.WEO,WEO_LIVE_2021_JAN_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_2021_JAN_VINTAGE(1.0.0)
GAS Live 2007 October Final,IMF.RES.GAS,GAS_LIVE_2007_OCT_FINAL_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2007_OCT_FINAL_VINTAGE(1.0.0)
"National Economic Accounts (NEA), Quarterly Data 2026 February",IMF.STA,QNEA_2026_FEB_VINTAGE,1.0.0,IMF.STA:QNEA_2026_FEB_VINTAGE(1.0.0)
Gender Statistics (GS) Health,IMF.STA,GS_HEALTH,5.0.0,IMF.STA:GS_HEALTH(5.0.0)
"Producer prices in industry, total - monthly data",ESTAT,STS_INPP_M,1.0,ESTAT:STS_INPP_M(1.0)
GEE Live 2010 April Final,IMF.RES.GEE,GEE_LIVE_2010_APR_FINAL_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2010_APR_FINAL_VINTAGE(1.0.0)
WEO Live 2008 July,IMF.RES.WEO,WEO_LIVE_2008_JUL_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_2008_JUL_VINTAGE(1.0.0)
GEE Live 2017 April GAS2,IMF.RES.GEE,GEE_LIVE_2017_APR_GAS2_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2017_APR_GAS2_VINTAGE(1.0.0)
"Production Indexes, World and Country Group Aggregates 2026 January",IMF.STA,PI_WCA_2026_JAN_VINTAGE,1.0.0,IMF.STA:PI_WCA_2026_JAN_VINTAGE(1.0.0)
WEO Live 2007 October,IMF.RES.WEO,WEO_LIVE_2007_OCT_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_2007_OCT_VINTAGE(1.0.0)
WEO Live 2007 April,IMF.RES.WEO,WEO_LIVE_2007_APR_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_2007_APR_VINTAGE(1.0.0)
GAS Live 2025 January GAS1,IMF.RES.GAS,GAS_LIVE_2025_JAN_GAS1_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2025_JAN_GAS1_VINTAGE(1.0.0)
GAS Live 2018 April GAS2,IMF.RES.GAS,GAS_LIVE_2018_APR_GAS2_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2018_APR_GAS2_VINTAGE(1.0.0)
