database_name,dimension_name,Code,Name
IMF.CSF:BBGDL,TICKER,GT7_GOVT,#N/A Field Not Applicable
IMF.CSF:BBGDL,TICKER,POGB1YR_INDEX,1 Year Government Bonds Bloomberg Generics Poland
IMF.CSF:BBGDL,TICKER,POGB10YR_INDEX,10 Year Government Bonds Bloomberg Generics/Poland
IMF.CSF:BBGDL,TICKER,POGB2YR_INDEX,2 Year Government Bonds Bloomberg Generics/Poland
IMF.CSF:BBGDL,TICKER,POGB3YR_INDEX,3 Year Government Bonds Bloomberg Generics/Poland
IMF.CSF:BBGDL,TICKER,IBX7_COMDTY,30-DAY INTERBANK Nov07
IMF.CSF:BBGDL,TICKER,IBX8_COMDTY,30-DAY INTERBANK Nov08
IMF.CSF:BBGDL,TICKER,IBV7_COMDTY,30-DAY INTERBANK Oct07
IMF.CSF:BBGDL,TICKER,IBV8_COMDTY,30-DAY INTERBANK Oct08
IMF.CSF:BBGDL,TICKER,III_LN_EQUITY,3i Group PLC
IMF.CSF:BBGDL,TICKER,MMM_UN_EQUITY,3M Co
IMF.CSF:BBGDL,TICKER,ERZ21_COMDTY,3MO EURO EURIBOR Dec21
IMF.CSF:BBGDL,TICKER,ERZ2_COMDTY,3MO EURO EURIBOR Dec22
IMF.CSF:BBGDL,TICKER,ERZ3_COMDTY,3MO EURO EURIBOR Dec23
IMF.CSF:BBGDL,TICKER,ERZ4_COMDTY,3MO EURO EURIBOR Dec24
IMF.CSF:BBGDL,TICKER,ERZ5_COMDTY,3MO EURO EURIBOR Dec25
IMF.CSF:BBGDL,TICKER,ERZ6_COMDTY,3MO EURO EURIBOR Dec26
IMF.CSF:BBGDL,TICKER,ERZ7_COMDTY,3MO EURO EURIBOR Dec27
IMF.CSF:BBGDL,TICKER,ERM2_COMDTY,3MO EURO EURIBOR Jun22
IMF.CSF:BBGDL,TICKER,ERM3_COMDTY,3MO EURO EURIBOR Jun23
IMF.CSF:BBGDL,TICKER,ERM4_COMDTY,3MO EURO EURIBOR Jun24
IMF.CSF:BBGDL,TICKER,ERM5_COMDTY,3MO EURO EURIBOR Jun25
IMF.CSF:BBGDL,TICKER,ERM6_COMDTY,3MO EURO EURIBOR Jun26
IMF.CSF:BBGDL,TICKER,ERM7_COMDTY,3MO EURO EURIBOR Jun27
IMF.CSF:BBGDL,TICKER,ERM8_COMDTY,3MO EURO EURIBOR Jun28
IMF.CSF:BBGDL,TICKER,ERH22_COMDTY,3MO EURO EURIBOR Mar22
IMF.CSF:BBGDL,TICKER,ERH3_COMDTY,3MO EURO EURIBOR Mar23
IMF.CSF:BBGDL,TICKER,ERH4_COMDTY,3MO EURO EURIBOR Mar24
IMF.CSF:BBGDL,TICKER,ERH5_COMDTY,3MO EURO EURIBOR Mar25
IMF.CSF:BBGDL,TICKER,ERH6_COMDTY,3MO EURO EURIBOR Mar26
IMF.CSF:BBGDL,TICKER,ERH7_COMDTY,3MO EURO EURIBOR Mar27
IMF.CSF:BBGDL,TICKER,ERH8_COMDTY,3MO EURO EURIBOR Mar28
IMF.CSF:BBGDL,TICKER,ERU21_COMDTY,3MO EURO EURIBOR Sep21
IMF.CSF:BBGDL,TICKER,ERU2_COMDTY,3MO EURO EURIBOR Sep22
IMF.CSF:BBGDL,TICKER,ERU3_COMDTY,3MO EURO EURIBOR Sep23
IMF.CSF:BBGDL,TICKER,ERU4_COMDTY,3MO EURO EURIBOR Sep24
IMF.CSF:BBGDL,TICKER,ERU5_COMDTY,3MO EURO EURIBOR Sep25
IMF.CSF:BBGDL,TICKER,ERU6_COMDTY,3MO EURO EURIBOR Sep26
IMF.CSF:BBGDL,TICKER,ERU7_COMDTY,3MO EURO EURIBOR Sep27
IMF.CSF:BBGDL,TICKER,ERU8_COMDTY,3MO EURO EURIBOR Sep28
IMF.CSF:BBGDL,TICKER,YEZ0_COMDTY,3MO EUROYEN TFX Dec10
IMF.CSF:BBGDL,TICKER,YEM0_COMDTY,3MO EUROYEN TFX Jun10
IMF.CSF:BBGDL,TICKER,YEH0_COMDTY,3MO EUROYEN TFX Mar10
IMF.CSF:BBGDL,TICKER,YEH1_COMDTY,3MO EUROYEN TFX Mar11
