database_name,dimension_name,Code,Name
WB:WDI,SERIES,AG_CON_FERT_PT_ZS,Fertilizer consumption (% of fertilizer production)
WB:WDI,SERIES,AG_CON_FERT_ZS,Fertilizer consumption (kilograms per hectare of arable land)
WB:WDI,SERIES,AG_LND_AGRI_K2,Agricultural land (sq. km)
WB:WDI,SERIES,AG_LND_AGRI_ZS,Agricultural land (% of land area)
WB:WDI,SERIES,AG_LND_ARBL_HA,Arable land (hectares)
WB:WDI,SERIES,AG_LND_ARBL_HA_PC,Arable land (hectares per person)
WB:WDI,SERIES,AG_LND_ARBL_ZS,Arable land (% of land area)
WB:WDI,SERIES,AG_LND_CREL_HA,Land under cereal production (hectares)
WB:WDI,SERIES,AG_LND_CROP_ZS,Permanent cropland (% of land area)
WB:WDI,SERIES,AG_LND_EL5M_RU_K2,Rural land area where elevation is below 5 meters (sq. km)
WB:WDI,SERIES,AG_LND_EL5M_RU_ZS,Rural land area where elevation is below 5 meters (% of total land area)
WB:WDI,SERIES,AG_LND_EL5M_UR_K2,Urban land area where elevation is below 5 meters (sq. km)
WB:WDI,SERIES,AG_LND_EL5M_UR_ZS,Urban land area where elevation is below 5 meters (% of total land area)
WB:WDI,SERIES,AG_LND_EL5M_ZS,Land area where elevation is below 5 meters (% of total land area)
WB:WDI,SERIES,AG_LND_FRST_K2,Forest area (sq. km)
WB:WDI,SERIES,AG_LND_FRST_ZS,Forest area (% of land area)
WB:WDI,SERIES,AG_LND_IRIG_AG_ZS,Agricultural irrigated land (% of total agricultural land)
WB:WDI,SERIES,AG_LND_PRCP_MM,Average precipitation in depth (mm per year)
WB:WDI,SERIES,AG_LND_TOTL_K2,Land area (sq. km)
WB:WDI,SERIES,AG_LND_TOTL_RU_K2,Rural land area (sq. km)
WB:WDI,SERIES,AG_LND_TOTL_UR_K2,Urban land area (sq. km)
WB:WDI,SERIES,AG_PRD_CREL_MT,Cereal production (metric tons)
WB:WDI,SERIES,AG_PRD_CROP_XD,Crop production index (2014-2016 = 100)
WB:WDI,SERIES,AG_PRD_FOOD_XD,Food production index (2014-2016 = 100)
WB:WDI,SERIES,AG_PRD_LVSK_XD,Livestock production index (2014-2016 = 100)
WB:WDI,SERIES,AG_SRF_TOTL_K2,Surface area (sq. km)
WB:WDI,SERIES,AG_YLD_CREL_KG,Cereal yield (kg per hectare)
WB:WDI,SERIES,BG_GSR_NFSV_GD_ZS,Trade in services (% of GDP)
WB:WDI,SERIES,BM_GSR_CMCP_ZS,"Communications, computer, etc. (% of service imports, BoP)"
WB:WDI,SERIES,BM_GSR_FCTY_CD,"Primary income payments (BoP, current US$)"
WB:WDI,SERIES,BM_GSR_GNFS_CD,"Imports of goods and services (current US$, BoP)"
WB:WDI,SERIES,BM_GSR_INSF_ZS,"Insurance and financial services (% of service imports, BoP)"
WB:WDI,SERIES,BM_GSR_MRCH_CD,"Goods imports (current US$, BoP)"
WB:WDI,SERIES,BM_GSR_NFSV_CD,"Service imports (current US$, BoP)"
WB:WDI,SERIES,BM_GSR_ROYL_CD,"Charges for the use of intellectual property, payments (BoP, current US$)"
WB:WDI,SERIES,BM_GSR_TOTL_CD,"Imports of goods, services and primary income (current US$, BoP)"
WB:WDI,SERIES,BM_GSR_TRAN_ZS,"Transport services (% of service imports, BoP)"
WB:WDI,SERIES,BM_GSR_TRVL_ZS,"Travel services (% of service imports, BoP)"
WB:WDI,SERIES,BM_KLT_DINV_CD_WD,"Foreign direct investment, net outflows (BoP, current US$)"
WB:WDI,SERIES,BM_KLT_DINV_WD_GD_ZS,"Foreign direct investment, net outflows (% of GDP)"
WB:WDI,SERIES,BM_TRF_PRVT_CD,"Secondary income, other sectors, payments (BoP, current US$)"
WB:WDI,SERIES,BM_TRF_PWKR_CD_DT,"Personal remittances, paid (current US$)"
WB:WDI,SERIES,BN_CAB_XOKA_CD,"Current account balance (current US$, BoP)"
WB:WDI,SERIES,BN_CAB_XOKA_GD_ZS,Current account balance (% of GDP)
WB:WDI,SERIES,BN_FIN_TOTL_CD,"Net financial account (BoP, current US$)"
WB:WDI,SERIES,BN_GSR_FCTY_CD,"Net primary income (current US$, BoP)"
WB:WDI,SERIES,BN_GSR_GNFS_CD,"Net trade in goods and services (current US$, BoP)"
WB:WDI,SERIES,BN_GSR_MRCH_CD,"Net trade in goods (current US$, BoP)"
WB:WDI,SERIES,BN_KAC_EOMS_CD,"Net errors and omissions (current US$, BoP)"
WB:WDI,SERIES,BN_KLT_DINV_CD,"Foreign direct investment, net (current US$, BoP)"
WB:WDI,SERIES,BN_KLT_PTXL_CD,"Portfolio investment, net (current US$, BoP)"
WB:WDI,SERIES,BN_RES_INCL_CD,"Reserves and related items (current US$, BoP)"
WB:WDI,SERIES,BN_TRF_CURR_CD,"Net secondary income (current US$, BoP)"
WB:WDI,SERIES,BN_TRF_KOGT_CD,"Net capital account (BoP, current US$)"
WB:WDI,SERIES,BX_GRT_EXTA_CD_WD,"Grants, excluding technical cooperation (BoP, current US$)"
WB:WDI,SERIES,BX_GRT_TECH_CD_WD,"Technical cooperation grants (BoP, current US$)"
WB:WDI,SERIES,BX_GSR_CCIS_CD,"ICT service exports (BoP, current US$)"
WB:WDI,SERIES,BX_GSR_CCIS_ZS,"ICT service exports (% of service exports, BoP)"
WB:WDI,SERIES,BX_GSR_CMCP_ZS,"Communications, computer, etc. (% of service exports, BoP)"
WB:WDI,SERIES,BX_GSR_FCTY_CD,"Primary income receipts (BoP, current US$)"
WB:WDI,SERIES,BX_GSR_GNFS_CD,"Exports of goods and services (current US$, BoP)"
WB:WDI,SERIES,BX_GSR_INSF_ZS,"Insurance and financial services (% of service exports, BoP)"
WB:WDI,SERIES,BX_GSR_MRCH_CD,"Goods exports (current US$, BoP)"
WB:WDI,SERIES,BX_GSR_NFSV_CD,"Service exports (current US$, BoP)"
WB:WDI,SERIES,BX_GSR_ROYL_CD,"Charges for the use of intellectual property, receipts (BoP, current US$)"
WB:WDI,SERIES,BX_GSR_TOTL_CD,"Exports of goods, services and primary income (current US$, BoP)"
WB:WDI,SERIES,BX_GSR_TRAN_ZS,"Transport services (% of service exports, BoP)"
WB:WDI,SERIES,BX_GSR_TRVL_ZS,"Travel services (% of service exports, BoP)"
WB:WDI,SERIES,BX_KLT_DINV_CD_WD,"Foreign direct investment, net inflows (BoP, current US$)"
WB:WDI,SERIES,BX_KLT_DINV_WD_GD_ZS,"Foreign direct investment, net inflows (% of GDP)"
WB:WDI,SERIES,BX_PEF_TOTL_CD_WD,"Portfolio equity, net inflows (BoP, current US$)"
WB:WDI,SERIES,BX_TRF_CURR_CD,"Secondary income receipts (BoP, current US$)"
WB:WDI,SERIES,BX_TRF_PWKR_CD,"Personal transfers, receipts (current US$, BoP)"
WB:WDI,SERIES,BX_TRF_PWKR_CD_DT,"Personal remittances, received (current US$)"
WB:WDI,SERIES,BX_TRF_PWKR_DT_GD_ZS,"Personal remittances, received (% of GDP)"
WB:WDI,SERIES,CC_EST,Control of Corruption: Estimate
WB:WDI,SERIES,CC_NO_SRC,Control of Corruption: Number of Sources
WB:WDI,SERIES,CC_PER_RNK,Control of Corruption: Percentile Rank
WB:WDI,SERIES,CC_PER_RNK_LOWER,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval"
WB:WDI,SERIES,CC_PER_RNK_UPPER,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval"
WB:WDI,SERIES,CC_STD_ERR,Control of Corruption: Standard Error
WB:WDI,SERIES,CM_MKT_INDX_ZG,S&P Global Equity Indices (annual % change)
WB:WDI,SERIES,CM_MKT_LCAP_CD,Market capitalization of listed domestic companies (current US$)
WB:WDI,SERIES,CM_MKT_LCAP_GD_ZS,Market capitalization of listed domestic companies (% of GDP)
WB:WDI,SERIES,CM_MKT_LDOM_NO,"Listed domestic companies, total"
WB:WDI,SERIES,CM_MKT_TRAD_CD,"Stocks traded, total value (current US$)"
WB:WDI,SERIES,CM_MKT_TRAD_GD_ZS,"Stocks traded, total value (% of GDP)"
WB:WDI,SERIES,CM_MKT_TRNR,"Stocks traded, turnover ratio of domestic shares (%)"
WB:WDI,SERIES,DC_DAC_AUSL_CD,"Net bilateral aid flows from DAC donors, Australia (current US$)"
WB:WDI,SERIES,DC_DAC_AUTL_CD,"Net bilateral aid flows from DAC donors, Austria (current US$)"
WB:WDI,SERIES,DC_DAC_BELL_CD,"Net bilateral aid flows from DAC donors, Belgium (current US$)"
WB:WDI,SERIES,DC_DAC_CANL_CD,"Net bilateral aid flows from DAC donors, Canada (current US$)"
WB:WDI,SERIES,DC_DAC_CECL_CD,"Net bilateral aid flows from DAC donors, European Union institutions (current US$)"
WB:WDI,SERIES,DC_DAC_CHEL_CD,"Net bilateral aid flows from DAC donors, Switzerland (current US$)"
WB:WDI,SERIES,DC_DAC_CZEL_CD,"Net bilateral aid flows from DAC donors, Czech Republic (current US$)"
WB:WDI,SERIES,DC_DAC_DEUL_CD,"Net bilateral aid flows from DAC donors, Germany (current US$)"
